1.698371169 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.698466081 10.0.0.1:40720 10.0.0.3:5001 32 0xd6acaef 0xd688fa7 102 2147483647 170496 312732 29696
1.706742745 10.0.0.1:40720 10.0.0.3:5001 32 0xd6ae18f 0xd689af7 104 2147483647 170496 316879 29696
1.706776280 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.713579868 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.713680814 10.0.0.1:40720 10.0.0.3:5001 32 0xd6af82f 0xd68a647 106 2147483647 170496 321543 29696
1.722642457 10.0.0.1:40720 10.0.0.3:5001 32 0xd6b1477 0xd68b197 108 2147483647 170496 325580 29696
1.722705387 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.728684987 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.728970316 10.0.0.1:40720 10.0.0.3:5001 32 0xd6b2b17 0xd68bce7 110 2147483647 170496 330232 29696
1.736991308 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.738032643 10.0.0.1:40720 10.0.0.3:5001 32 0xd6b41b7 0xd68c837 112 2147483647 170496 334135 29696
1.744265352 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.744358715 10.0.0.2:40434 10.0.0.4:5001 32 0x638e640e 0x638ca536 79 2147483647 170496 265610 29696
1.751942072 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.752054833 10.0.0.2:40434 10.0.0.4:5001 32 0x638e7aae 0x638cb086 81 2147483647 176640 278522 29696
1.759439921 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.759732254 10.0.0.2:40434 10.0.0.4:5001 32 0x638e914e 0x638cbbd6 83 2147483647 178176 290782 29696
1.763877824 10.0.0.2:40434 10.0.0.4:5001 32 0x638e9c9e 0x638cc17e 84 2147483647 178176 302469 29696
1.767687722 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.772512101 10.0.0.2:40434 10.0.0.4:5001 32 0x638ead96 0x638cccce 86 2147483647 178176 312230 29696
1.774804626 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.780284252 10.0.0.2:40434 10.0.0.4:5001 32 0x638ec436 0x638cd81e 88 2147483647 178176 321849 29696
1.783233662 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.788090518 10.0.0.2:40434 10.0.0.4:5001 32 0x638edad6 0x638ce36e 90 2147483647 178176 330291 29696
1.790676184 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.794628571 10.0.0.2:40434 10.0.0.4:5001 32 0x638ef176 0x638ceebe 92 2147483647 178176 338653 29696
1.798865075 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.804714883 10.0.0.2:40434 10.0.0.4:5001 32 0x638f0816 0x638cfa0e 94 2147483647 178176 345800 29696
1.805573258 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.809749415 10.0.0.2:40434 10.0.0.4:5001 32 0x638f1eb6 0x638d055e 96 2147483647 178176 353315 29696
1.813282457 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.818367371 10.0.0.2:40434 10.0.0.4:5001 32 0x638f3556 0x638d10ae 98 2147483647 178176 359603 29696
1.821340662 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
