1.276993039 10.0.0.2:40468 10.0.0.4:5001 32 0x571f338f 0x571dcf37 64 56 359424 235513 29696
1.278939017 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.284680093 10.0.0.2:40468 10.0.0.4:5001 32 0x571f3edf 0x571dda87 64 56 359424 236615 29696
1.286102064 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.292602275 10.0.0.2:40468 10.0.0.4:5001 32 0x571f557f 0x571de5d7 65 56 359424 237534 29696
1.294553683 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.300098286 10.0.0.2:40468 10.0.0.4:5001 32 0x571f60cf 0x571df127 65 56 359424 238384 29696
1.301502031 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.307154042 10.0.0.2:40468 10.0.0.4:5001 32 0x571f6c1f 0x571dfc77 65 56 359424 239087 29696
1.309405020 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.315733551 10.0.0.2:40468 10.0.0.4:5001 32 0x571f776f 0x571e07c7 65 56 359424 239610 29696
1.316882873 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.322855515 10.0.0.2:40468 10.0.0.4:5001 32 0x571f82bf 0x571e1317 65 56 359424 240211 29696
1.324571036 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.330673896 10.0.0.2:40468 10.0.0.4:5001 32 0x571f8e0f 0x571e1e67 65 56 359424 240571 29696
1.332306007 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.338141678 10.0.0.2:40468 10.0.0.4:5001 32 0x571f995f 0x571e29b7 65 56 359424 240876 29696
1.339940497 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.346252203 10.0.0.2:40468 10.0.0.4:5001 32 0x571fa4af 0x571e3507 65 56 359424 241218 29696
1.348366785 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
